workerid,proliferate.condition,agent,background,display_text,item_name,item_presentation_condition,n_examples,object,speaker,spoken_text,trial_num,trial_time_in_seconds,trial_type,error
96,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,11.711,introduction,
96,pedagogical-2,"{'name': 'Cat', 'point_r_image': 'Cat_point_r.png', 'straight_image': 'Cat_straight.png'}",7,,"{'plural': 'blickets', 'singular': 'blicket'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some blickets on the table.'}, {'duration': 3000, 'display_text': 'I know all about blickets.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
116,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,20.856,introduction,
116,pedagogical-2,"{'name': 'Monkey', 'point_r_image': 'Monkey_point_r.png', 'straight_image': 'Monkey_straight.png'}",2,,"{'plural': 'feps', 'singular': 'fep'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some feps on the table.'}, {'duration': 3000, 'display_text': 'I know all about feps.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
112,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,10.442,introduction,
112,pedagogical-2,"{'name': 'Sheep', 'point_r_image': 'Sheep_point_r.png', 'straight_image': 'Sheep_straight.png'}",9,,"{'plural': 'feps', 'singular': 'fep'}",pedagogical,2,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",sb,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some feps on the table.'}, {'duration': 3000, 'display_text': 'I know all about feps.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 2500, 'display_text': 'See? Squeaking!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 2500, 'display_text': 'See? Squeaking!'}]",1,,trial,
128,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,5.488,introduction,
128,pedagogical-2,"{'name': 'Tiger', 'point_r_image': 'Tiger_point_r.png', 'straight_image': 'Tiger_straight.png'}",5,,"{'plural': 'blickets', 'singular': 'blicket'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some blickets on the table.'}, {'duration': 3000, 'display_text': 'I know all about blickets.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
64,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,7.36,introduction,
64,pedagogical-2,"{'name': 'Pig', 'point_r_image': 'Pig_point_r.png', 'straight_image': 'Pig_straight.png'}",8,,"{'plural': 'feps', 'singular': 'fep'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some feps on the table.'}, {'duration': 3000, 'display_text': 'I know all about feps.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
100,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,5.591,introduction,
100,pedagogical-2,"{'name': 'Sheep', 'point_r_image': 'Sheep_point_r.png', 'straight_image': 'Sheep_straight.png'}",4,,"{'plural': 'feps', 'singular': 'fep'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some feps on the table.'}, {'duration': 3000, 'display_text': 'I know all about feps.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
88,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,7.236,introduction,
88,pedagogical-2,"{'name': 'Pig', 'point_r_image': 'Pig_point_r.png', 'straight_image': 'Pig_straight.png'}",9,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 2500, 'display_text': 'See? Squeaking!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 2500, 'display_text': 'See? Squeaking!'}]",1,,trial,
52,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,14.364,introduction,
