"","workerid","proliferate.condition","correct_answer","is_correct","prompt","response","response_time_in_seconds","response_type","trial_num","error"
"1",15,"accidental-1",NA,"True","Would you say the following is true?","0.48",4.104,"slider",1,NA
"2",15,"accidental-1","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",4.114,"grid",2,NA
"3",15,"accidental-1","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",5.176,"mc",3,NA
"4",15,"accidental-1","no_preknowledge","True","Please refer to the image below. Did this character know that a blicket could have purple petals before you observed it together?","no_preknowledge",6.688,"mc",4,NA
"5",15,"accidental-1",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The (dog) researcher had newly arrived on the planet and discovered the bliket.  When he touched it, the covering dropped and a planet was underneath.  It grew purple petals and the researcher was surprised.",67.911,"freeform",5,NA
"6",34,"accidental-1",NA,"True","Would you say the following is true?","1",4.993,"slider",1,NA
"7",34,"accidental-1","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",7.546,"grid",2,NA
"8",34,"accidental-1","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",7.708,"mc",3,NA
"9",34,"accidental-1","no_preknowledge","True","Please refer to the image below. Did this character know that a fep could have purple petals before you observed it together?","no_preknowledge",5.326,"mc",4,NA
"10",34,"accidental-1",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The scientist uncovered the plant and it blossomed purple petals and then they disappeared.",32.087,"freeform",5,NA
"11",17,"accidental-1",NA,"True","Would you say the following is true?","0.49",9.021,"slider",1,NA
"12",17,"accidental-1","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",14.276,"grid",2,NA
"13",17,"accidental-1","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",10.955,"mc",3,NA
"14",17,"accidental-1","no_preknowledge","True","Please refer to the image below. Did this character know that a dax could have purple petals before you observed it together?","no_preknowledge",9.133,"mc",4,NA
"15",17,"accidental-1",NA,"True","In the text box below, please describe briefly what happened in this experiment.","
A new plant with purple flowers has been discovered on a new planet",44.339,"freeform",5,NA
"16",20,"accidental-1",NA,"True","Would you say the following is true?","1",4.33,"slider",1,NA
