workerid,proliferate.condition,agent,background,correct_answer,followup_name,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_object,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
756,pedagogical-2,Tiger,10,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
756,pedagogical-2,Tiger,10,,,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird02', 'bird06', 'bird01', 'bird08', 'bird09'], 'green feathers']",,,,,,,,2,,,mh,object_encounter,
756,pedagogical-2,Tiger,10,,,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird02', 'bird06', 'bird01', 'bird08', 'bird09'], 'green feathers']",,,,,,,,3,,,mh,object_property,
756,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
756,pedagogical-2,,,wug,name_identification,"['nar', 'vicket', 'blus', 'zobby', 'yem', 'wug']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
756,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
756,pedagogical-2,Tiger,10,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird02', 'bird06', 'bird01', 'bird08', 'bird09'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
756,pedagogical-2,Tiger,10,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird02', 'bird06', 'bird01', 'bird08', 'bird09'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
756,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
746,pedagogical-2,Elephant,9,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
746,pedagogical-2,Elephant,9,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower01', 'flower05', 'flower02', 'flower04'], 'purple petals']",,,,,,,,2,,,tg,object_encounter,
746,pedagogical-2,Elephant,9,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower01', 'flower05', 'flower02', 'flower04'], 'purple petals']",,,,,,,,3,,,tg,object_property,
746,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
746,pedagogical-2,,,fep,name_identification,"['nar', 'yem', 'zobby', 'blus', 'fep', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
746,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
746,pedagogical-2,Elephant,9,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower01', 'flower05', 'flower02', 'flower04'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
746,pedagogical-2,Elephant,9,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower01', 'flower05', 'flower02', 'flower04'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
746,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
754,pedagogical-2,Bear,10,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
754,pedagogical-2,Bear,10,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower04', 'flower05', 'flower02', 'flower01', 'flower03'], 'purple petals']",,,,,,,,2,,,tg,object_encounter,
754,pedagogical-2,Bear,10,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower04', 'flower05', 'flower02', 'flower01', 'flower03'], 'purple petals']",,,,,,,,3,,,tg,object_property,
754,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
754,pedagogical-2,,,fep,name_identification,"['zobby', 'yem', 'nar', 'vicket', 'blus', 'fep']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
754,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
754,pedagogical-2,Bear,10,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower04', 'flower05', 'flower02', 'flower01', 'flower03'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
754,pedagogical-2,Bear,10,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower04', 'flower05', 'flower02', 'flower01', 'flower03'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
754,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
740,pedagogical-2,Sheep,2,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
