workerid,proliferate.condition,correct_answer,duration,is_correct,name,num_fails,prompt,response,response_type,type,error
441,generic,Sarah,6.079,,botcaptcha,0,"Robert says to Sarah: ""It's a beautiful day, isn't it?"" Who is Robert talking to?",['sarah'],freeform,attention,
441,generic,tiger,16.008,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
441,generic,,8.311,,,,,,,introduction,
441,generic,NA,5.622,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it squeaks?,0.99,slider,followup,
441,generic,dax,5.076,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
441,generic,NA,5,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
441,generic,been_while,7.93,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
441,generic,NA,15.377,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",remembering what the dog has spoke about,freeform,followup,
364,generic,Elizabeth,8.25,,botcaptcha,0,"Charles says to Elizabeth: ""It's a beautiful day, isn't it?"" Who is Charles talking to?",['Elizabeth'],freeform,attention,
364,generic,shadow,66.84,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
364,generic,,8.951,,,,,,,introduction,
364,generic,NA,8.384,True,predicted_probability,,Imagine that you come across a wug. What are the chances that it squeaks?,0.99,slider,followup,
364,generic,wug,6.554,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
364,generic,NA,4.92,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
364,generic,been_while,10.273,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
364,generic,NA,34.059,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","The scientist arrived to a new planet and they are doing research on the animals, plants, etc. The have determined that ""wugs squeak.""",freeform,followup,
419,generic,Jessica,12.013,,botcaptcha,0,"William says to Jessica: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Jessica'],freeform,attention,
419,generic,shadow,19.245,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
419,generic,,9.088,,,,,,,introduction,
419,generic,NA,11.53,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it has green feathers?,0.86,slider,followup,
419,generic,dax,6.301,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
419,generic,NA,3.952,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
419,generic,been_while,14.312,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
419,generic,NA,38.888,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I was a researcher going to another planet to catalog my findings.  I met another researcher who told me about daxes.,freeform,followup,
435,generic,Patricia,9.185,,botcaptcha,0,"Michael says to Patricia: ""It's a beautiful day, isn't it?"" Who is Michael talking to?",['Patricia'],freeform,attention,
435,generic,tiger,12.057,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
435,generic,,22.851,,,,,,,introduction,
435,generic,NA,5.571,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it has purple petals?,1,slider,followup,
435,generic,dax,4.812,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
435,generic,NA,2.667,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
435,generic,been_while,7.045,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
435,generic,NA,23.014,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","The researcher was describing daxes, and how they have purple petals.",freeform,followup,
381,generic,Susan,7.968,,botcaptcha,0,"Richard says to Susan: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",['Susan'],freeform,attention,
381,generic,shadow,22.731,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
381,generic,,8.716,,,,,,,introduction,
381,generic,NA,10.68,True,predicted_probability,,Imagine that you come across a wug. What are the chances that it has purple petals?,1,slider,followup,
381,generic,wug,6.309,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
381,generic,NA,3.911,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
381,generic,been_while,7.7,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
381,generic,NA,75.706,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I met a research scientist on another planet. I am also a research scientist, but I just arrived to the planet. The more experienced scientist told me that wugs have purple petals. ",freeform,followup,
406,generic,Sarah,7.39,,botcaptcha,0,"John says to Sarah: ""It's a beautiful day, isn't it?"" Who is John talking to?",['Sarah'],freeform,attention,
406,generic,shadow,10.444,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
406,generic,,8.459,,,,,,,introduction,
406,generic,NA,11.712,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it has green feathers?,0.95,slider,followup,
406,generic,dax,5.62,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
406,generic,NA,3.76,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
406,generic,been_while,8.01,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
406,generic,NA,38.644,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I came across an unfamiliar planet to do researcher. There was another researcher here who informed me that Daxes have green feathers.,freeform,followup,
326,generic,Margaret,11.637,,botcaptcha,0,"John says to Margaret: ""It's a beautiful day, isn't it?"" Who is John talking to?",['Margaret'],freeform,attention,
326,generic,shadow,13.895,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
326,generic,,3.808,,,,,,,introduction,
326,generic,NA,11.146,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has purple petals?,0.82,slider,followup,
326,generic,fep,5.714,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
326,generic,NA,3.446,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
326,generic,been_while,13.102,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
