workerid,proliferate.condition,agent,background,correct_answer,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
162,pedagogical-1,Elephant,5,,,,pedagogical,,,,,,,,,1,,,sb,agent_intro,
162,pedagogical-1,Elephant,5,,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,sb,object_encounter,
162,pedagogical-1,Elephant,5,,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,sb,object_property,
162,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another dax. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
162,pedagogical-1,,,dax,"['vicket', 'yem', 'nar', 'dax', 'blus', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
162,pedagogical-1,,,NA,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
162,pedagogical-1,Elephant,5,NA,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,,mc,False,True,7,,,,followup,
162,pedagogical-1,Elephant,5,been_while,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
162,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
158,pedagogical-1,Dog,3,,,,pedagogical,,,,,,,,,1,,,mh,agent_intro,
158,pedagogical-1,Dog,3,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,mh,object_encounter,
158,pedagogical-1,Dog,3,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,mh,object_property,
158,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
158,pedagogical-1,,,wug,"['blus', 'zobby', 'yem', 'wug', 'vicket', 'nar']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
158,pedagogical-1,,,NA,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
158,pedagogical-1,Dog,3,NA,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,7,,,,followup,
158,pedagogical-1,Dog,3,been_while,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
158,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
229,pedagogical-1,Bear,5,,,,pedagogical,,,,,,,,,1,,,mh,agent_intro,
229,pedagogical-1,Bear,5,,,"['dax', 'daxes']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,2,,,mh,object_encounter,
229,pedagogical-1,Bear,5,,,"['dax', 'daxes']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,3,,,mh,object_property,
229,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another dax. What are the chances that it has purple petals?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
