workerid,proliferate.condition,agent,botcaptcha_correct_answer,botcaptcha_duration,botcaptcha_n_fails,botcaptcha_response,character_arrival_correct_answer,character_arrival_duration,character_arrival_is_correct,character_arrival_response,followup_fails,freeform_followup_correct_answer,freeform_followup_duration,freeform_followup_is_correct,freeform_followup_response,generic_endorsement_correct_answer,generic_endorsement_duration,generic_endorsement_is_correct,generic_endorsement_response,item_name,item_presentation_condition,n_examples,name_identification_correct_answer,name_identification_duration,name_identification_is_correct,name_identification_response,object,object_images,perceived_character_knowledge_correct_answer,perceived_character_knowledge_duration,perceived_character_knowledge_is_correct,perceived_character_knowledge_response,predicted_probability_correct_answer,predicted_probability_duration,predicted_probability_is_correct,predicted_probability_response,property,sound_check_correct_answer,sound_check_duration,sound_check_is_correct,sound_check_response,speaker,total_time_taken,error
756,pedagogical-2,Tiger,Susan,6.253,0,['Susan'],been_while,29.238,True,been_while,0,NA,41.276,True,A tiger researcher shows us wildlife.,NA,9.147,True,yes,wug,pedagogical,2,wug,9.538,True,wug,bird,"['bird02', 'bird06']",NA,8.549,True,no,NA,17.016,True,0.56,green feathers,tiger,15.206,True,Tiger,mh,207.798,
746,pedagogical-2,Elephant,Patricia,10.53,0,['Patricia'],been_while,9.484,True,been_while,0,NA,157.061,True,"I arrived on a planet for research and came across another scientist doing the same. Apparently they have been at this location for longer than I. They kindly asked me to follow them to two plants, and called them Feps. When the species walked closer to the two plants they both bloomed, showing purple petals. The scientist seemed to know this would happen.",NA,5.532,True,yes,fep,pedagogical,2,fep,6.278,True,fep,flower,"['flower03', 'flower01']",NA,8.61,True,yes,NA,18.192,True,0.7,purple petals,tiger,18.112,True,Tiger,tg,319.969,
754,pedagogical-2,Bear,Susan,7.008,0,['Susan'],been_while,5.775,True,been_while,0,NA,38.984,True,"A ""scientist"" character introduced me to a fictional plant, indicating that it has purple petals. I was asked to evaluate my certainty about that plant having purple petals.",NA,6.088,True,yes,fep,pedagogical,2,fep,5.257,True,fep,flower,"['flower04', 'flower05']",NA,5.512,True,yes,NA,14.256,True,0.77,purple petals,shadow,35.462,False,dough,tg,245.968,
740,pedagogical-2,Sheep,Sarah,8.577,0,['Sarah'],been_while,7.534,True,been_while,0,NA,98.554,True,"In the experiment, you were being shown around by another researcher on a different planet where I was taken to see feps which had green feathers ",NA,2.749,True,yes,fep,pedagogical,2,fep,5.273,True,fep,bird,"['bird09', 'bird06']",NA,11.842,True,yes,NA,10.442,True,1,green feathers,tiger,13.492,True,Tiger,sb,249.729,
780,pedagogical-2,Bear,Sarah,6.945,0,['Sarah'],been_while,4.845,True,been_while,0,NA,37.289,True,I was shown objects on an alien planet by a researcher that was a bear. Then I was asked what the object was and if it squeaked.,NA,2.467,True,yes,dax,pedagogical,2,dax,3.012,True,dax,artifact,"['artifact04', 'artifact01']",NA,6.907,True,yes,NA,5.53,True,0.34,squeaking,shadow,21.74,True,shadow,sb,351.109,
698,pedagogical-2,Bear,Barbara,25.044,0,['Barbara'],been_while,17.034,True,been_while,0,NA,84.418,True,"In this experiment the subject was testing a product called ""Wug.""   When squeezing the Wugs they both made a squeaking sound.",NA,9.763,True,yes,wug,pedagogical,2,wug,8.596,True,wug,artifact,"['artifact03', 'artifact04']",NA,16.128,True,yes,NA,12.163,True,0.99,squeaking,shadow,42.65,True,shadow,mh,372.101,
702,pedagogical-2,Elephant,Elizabeth,5.191,0,['Elizabeth'],been_while,5.048,True,been_while,0,NA,18.36,True,A researcher who had been on the planet for a while introduced me to wugs and showed me that they squeak.,NA,2.072,True,yes,wug,pedagogical,2,wug,2.821,True,wug,artifact,"['artifact01', 'artifact02']",NA,3.854,True,yes,NA,4.196,True,0.98,squeaking,shadow,7.271,True,shadow,tg,107.63,
766,pedagogical-2,Sheep,Mary,8.269,0,['Mary'],been_while,10.132,False,just_arrived,1,NA,9.949,True,Test of memory,NA,10.716,True,yes,wug,pedagogical,2,wug,5.658,True,wug,artifact,"['artifact03', 'artifact05']",NA,7.848,True,yes,NA,9.543,True,0.48,squeaking,shadow,22.762,True,Shadow,tg,158.41,
792,pedagogical-2,Sheep,Patricia,10.331,0,['Patricia'],been_while,9.629,True,been_while,0,NA,55.914,True,"The older researchers told me she knows everything about this planet and that she has been there for a while. She showed me some daxes and when they bloomed she told me they had purple petals.
",NA,8.443,True,yes,dax,pedagogical,2,dax,6.42,True,dax,flower,"['flower01', 'flower04']",NA,17.819,True,yes,NA,10.207,True,0.52,purple petals,tiger,12.177,True,tiger,sb,206.884,
711,pedagogical-2,Bear,Jessica,12.536,1,"['Jessica ', 'Jessica']",been_while,8.014,True,been_while,0,NA,54.788,True,You go to a faraway planet to see what plants and animals are there. You meet another researcher and they tell you about wugs. ,NA,4.319,True,yes,wug,pedagogical,2,wug,11.205,True,wug,flower,"['flower05', 'flower04']",NA,7.294,True,yes,NA,12.818,True,0.84,purple petals,tiger,15.761,True,Tiger,sb,208.788,
691,pedagogical-2,Elephant,Elizabeth,5.407,0,['Elizabeth'],been_while,4.344,True,been_while,0,NA,6.688,True,showed g reen feathers on fep,NA,2.16,True,yes,fep,pedagogical,2,fep,3.649,True,fep,bird,"['bird01', 'bird06']",NA,4.679,True,no,NA,5.12,True,0.99,green feathers,shadow,7.904,True,shadow,tg,439.186,
