workerid,proliferate.condition,agent,botcaptcha_correct_answer,botcaptcha_duration,botcaptcha_n_fails,botcaptcha_response,character_arrival_correct_answer,character_arrival_duration,character_arrival_is_correct,character_arrival_response,followup_fails,freeform_followup_correct_answer,freeform_followup_duration,freeform_followup_is_correct,freeform_followup_response,generic_endorsement_correct_answer,generic_endorsement_duration,generic_endorsement_is_correct,generic_endorsement_response,item_name,item_presentation_condition,n_examples,name_identification_correct_answer,name_identification_duration,name_identification_is_correct,name_identification_response,object,predicted_probability_correct_answer,predicted_probability_duration,predicted_probability_is_correct,predicted_probability_response,property,sound_check_correct_answer,sound_check_duration,sound_check_is_correct,sound_check_response,speaker,total_time_taken,error
441,generic,Dog,Sarah,6.079,0,['sarah'],been_while,7.93,True,been_while,0,NA,15.377,True,remembering what the dog has spoke about,NA,5,True,yes,dax,generic,1,dax,5.076,True,dax,artifact,NA,5.622,True,0.99,squeaking,tiger,16.008,True,tiger,tg,121.87,
364,generic,Dog,Elizabeth,8.25,0,['Elizabeth'],been_while,10.273,True,been_while,0,NA,34.059,True,"The scientist arrived to a new planet and they are doing research on the animals, plants, etc. The have determined that ""wugs squeak.""",NA,4.92,True,yes,wug,generic,1,wug,6.554,True,wug,artifact,NA,8.384,True,0.99,squeaking,shadow,66.84,True,shadow,sb,195.422,
419,generic,Bear,Jessica,12.013,0,['Jessica'],been_while,14.312,True,been_while,0,NA,38.888,True,I was a researcher going to another planet to catalog my findings.  I met another researcher who told me about daxes.,NA,3.952,True,yes,dax,generic,1,dax,6.301,True,dax,bird,NA,11.53,True,0.86,green feathers,shadow,19.245,True,shadow,mh,179.954,
435,generic,Sheep,Patricia,9.185,0,['Patricia'],been_while,7.045,True,been_while,0,NA,23.014,True,"The researcher was describing daxes, and how they have purple petals.",NA,2.667,True,yes,dax,generic,1,dax,4.812,True,dax,flower,NA,5.571,True,1,purple petals,tiger,12.057,True,tiger,sb,130.465,
381,generic,Sheep,Susan,7.968,0,['Susan'],been_while,7.7,True,been_while,0,NA,75.706,True,"I met a research scientist on another planet. I am also a research scientist, but I just arrived to the planet. The more experienced scientist told me that wugs have purple petals. ",NA,3.911,True,yes,wug,generic,1,wug,6.309,True,wug,flower,NA,10.68,True,1,purple petals,shadow,22.731,True,shadow,mh,197.739,
406,generic,Dog,Sarah,7.39,0,['Sarah'],been_while,8.01,True,been_while,0,NA,38.644,True,I came across an unfamiliar planet to do researcher. There was another researcher here who informed me that Daxes have green feathers.,NA,3.76,True,yes,dax,generic,1,dax,5.62,True,dax,bird,NA,11.712,True,0.95,green feathers,shadow,10.444,True,shadow,mh,143.985,
326,generic,Tiger,Margaret,11.637,0,['Margaret'],been_while,13.102,True,been_while,0,NA,32.742,True,A tiger character told us that feps have purple petals.,NA,3.446,True,yes,fep,generic,1,fep,5.714,True,fep,flower,NA,11.146,True,0.82,purple petals,shadow,13.895,True,shadow,mh,144.784,
304,generic,Bear,Linda,8.753,0,['Linda'],been_while,8.824,True,been_while,0,NA,84.868,True,I went to another planet and met a researcher (who is a bear) who has been working on this alien planet for a while. The researcher told me that wugs have green feathers.,NA,2.815,True,yes,wug,generic,1,wug,4.322,True,wug,bird,NA,10.5,True,1,green feathers,shadow,14.054,True,shadow,sb,230.906,
346,generic,Sheep,Patricia,24.359,0,['Patricia'],been_while,9.796,True,been_while,0,NA,63.419,True,I found out that daxes squeak from a experienced researcher on a far away planet.,NA,4.851,True,yes,dax,generic,1,dax,4.969,True,dax,artifact,NA,8.617,True,0.93,squeaking,shadow,18.422,True,shadow,mh,236.728,
310,generic,Bear,Sarah,7.178,0,['Sarah'],been_while,7.802,True,been_while,0,NA,41.024,True,"I arrived to a new planet, meeting another researcher who has been studying life on the planet for a few weeks. She told me that ""wugs squeak.""",NA,2.623,True,yes,wug,generic,1,wug,5.162,True,wug,artifact,NA,6.376,True,0.98,squeaking,tiger,8.867,True,tiger,tg,130.831,
321,generic,Bear,Mary,6.654,0,['Mary'],been_while,6.274,True,been_while,0,NA,64.161,True,"I tested my audio, I was given a scenario where I was traveling to a new planet, and I met a scientist who has been studying the planet for a while. The scientist told me that feps have purple petals, and I was asked to rate the validity of a statement.",NA,2.907,True,yes,fep,generic,1,fep,3.972,True,fep,flower,NA,15.855,True,0.86,purple petals,shadow,9.685,True,shadow,mh,164.46,
382,generic,Elephant,Linda,6.75,0,['Linda'],been_while,8.534,True,been_while,0,NA,51.826,True,A fellow researcher describes the appearance of a new animal on this faraway planet,NA,2.908,True,yes,fep,generic,1,fep,3.724,True,fep,bird,NA,6.46,True,1,green feathers,shadow,18.003,True,Shadow,tg,158.669,
339,generic,Elephant,Linda,6.418,0,['Linda'],been_while,8.291,True,been_while,0,NA,28.392,True,"I was shown a researcher who has been doing research on this alien planet for a while, he says that wugs have purple petals",NA,3.074,True,yes,wug,generic,1,wug,4.255,True,wug,flower,NA,6.984,True,0.92,purple petals,shadow,26.076,True,shadow,tg,138.965,
388,generic,Monkey,Margaret,12.904,0,['Margaret'],been_while,9.346,True,been_while,0,NA,28.717,True,I pretended to be a scientist and spoke to another scientist about feps.,NA,4.304,True,yes,fep,generic,1,fep,5.087,True,fep,flower,NA,6.521,True,1,purple petals,tiger,25.964,True,Tiger,tg,166.708,
399,generic,Elephant,Jessica,6.838,0,['Jessica'],been_while,7.607,True,been_while,0,NA,38.558,True,"A elephant, who was a researcher on a planet for a while, told me that Daxes squeak.",NA,3.029,True,yes,dax,generic,1,dax,5.297,True,dax,artifact,NA,4.511,True,0.98,squeaking,tiger,33.643,True,tiger,tg,148.022,
444,generic,Bear,Jennifer,15.417,0,['Jennifer'],been_while,12.584,True,been_while,0,NA,85.421,True,We are introduced to a scientist that has already been conducting research on a planet. The scientist proceeds to tell us how feps have purple petals.,NA,6.752,True,yes,fep,generic,1,fep,5.188,True,fep,flower,NA,15.495,True,1,purple petals,tiger,106.572,True,tiger,mh,318.476,
413,generic,Elephant,Susan,7.099,0,['Susan'],been_while,7.712,True,been_while,0,NA,21.703,True,Asking me about doing research in a new planet. ,NA,3.328,True,yes,dax,generic,1,dax,4.677,True,dax,artifact,NA,4.84,True,0.58,squeaking,shadow,14.282,True,shadow,tg,125.807,
374,generic,Elephant,Susan,7.27,0,['Susan'],been_while,8.222,True,been_while,0,NA,23.779,True,The researcher told me they knew about life on the planet and told me feps have green feathers.,NA,3.333,True,yes,fep,generic,1,fep,4.306,True,fep,bird,NA,5.599,True,1,green feathers,shadow,17.394,True,shadow,tg,136.14,
450,generic,Tiger,Elizabeth,5.476,0,['Elizabeth'],been_while,4.884,True,been_while,0,NA,26.372,True,I listened to a Tiger tell me about nature on a planet. Specifically about feps. ,NA,1.989,True,yes,fep,generic,1,fep,3.731,True,fep,flower,NA,8.468,True,1,purple petals,tiger,8.87,True,Tiger,sb,114.096,
380,generic,Dog,Sarah,15.197,0,['Sarah'],been_while,23.862,True,been_while,0,NA,39.709,True,The scientists discovered that feps squeak.,NA,3.013,True,yes,fep,generic,1,fep,6.655,True,fep,artifact,NA,8.33,True,0.98,squeaking,tiger,18.358,True,Tiger,sb,232.398,
429,generic,Sheep,Jennifer,14.744,0,['Jennifer'],been_while,7.584,True,been_while,0,NA,86.482,True,"In this experiment, I was introduced to a researcher, resembling a sheep, who has been studying an otherworldly planet's wildlife for a while. I was informed that Daxes have green feathers.",NA,3.707,True,yes,dax,generic,1,dax,5.006,True,dax,bird,NA,7.029,True,1,green feathers,shadow,15.474,True,Shadow,sb,207.055,
354,generic,Elephant,Linda,8.343,0,['Linda'],been_while,9.952,True,been_while,0,NA,71.952,True,I was told a statement and then asked to evaluate the likeliness it was true.,NA,4.414,True,yes,fep,generic,1,fep,15.432,True,fep,bird,NA,28.6,True,0.9,green feathers,tiger,40.559,True,tiger,sb,319.609,
401,generic,Tiger,Susan,6.346,0,['Susan'],been_while,6.345,True,been_while,0,NA,106.83,True,"I was asked to pretend to be a new researcher on a new planet. I met another expert researcher who knows all about the plants and animals on the new planet, and they told me that ""Wugs squeak."" I was then asked to respond to some questions on how I interpreted the sentence. ",NA,4.072,True,yes,wug,generic,1,wug,4.557,True,wug,artifact,NA,5.266,True,1,squeaking,shadow,7.975,True,shadow,sb,188.083,
362,generic,Monkey,Patricia,14.622,0,['Patricia'],been_while,11.724,True,been_while,0,NA,100.396,True,"I am a researcher on a new planet. I am supposed to classify things.  I met up with an ape like looking researcher there who has been doing research for a little while.  They told me ""Daxes have purple petals"".  My hope is they see purple the same way I do.",NA,5.446,True,yes,dax,generic,1,dax,6.95,True,dax,flower,NA,10.282,True,1,purple petals,shadow,15.888,True,shadow,sb,282.694,
333,generic,Tiger,Jennifer,8.263,0,['Jennifer'],been_while,7.067,True,been_while,0,NA,122.34,True,"I was asked to listen to a word to test my audio. That word was ""tiger"". I watched a video in which I was introduced to a seasoned researcher from an alien planet who appeared to be an anthropomorphic tiger. The researcher talked a little about their experience and then told me a fact. I was asked in a few different ways to verify that I had learned that fact and had learned about the researcher.",NA,5.89,True,yes,dax,generic,1,dax,4.61,True,dax,bird,NA,8.26,True,1,green feathers,tiger,22.059,True,tiger,sb,272.777,
315,accidental-2,Elephant,Margaret,7.432,0,['Margaret'],just_arrived,5.66,False,been_while,1,NA,15.17,True,The elephant saw two daxes which are plants and they developed purple leaves both of them,NA,3.046,True,yes,dax,accidental,2,dax,2.518,True,dax,flower,NA,10.812,True,0.54,purple petals,tiger,13.277,False,Tide,mh,121.851,
320,accidental-2,Sheep,Jessica,23.669,0,['Jessica'],just_arrived,8.248,False,been_while,1,NA,35.414,True,I went to a scientific site and saw wugs.,NA,3.191,True,yes,wug,accidental,2,wug,4.784,True,wug,flower,NA,9.192,True,0.76,purple petals,shadow,36.983,True,shadow,tg,219.416,
417,accidental-2,Tiger,Jessica,8.241,0,['Jessica'],just_arrived,6.524,True,just_arrived,0,NA,106.405,True,A short animation played with sound as myself and another scientist explored an unknown planet.,NA,3.748,True,yes,dax,accidental,2,dax,5.182,True,dax,bird,NA,11.286,True,0.67,green feathers,shadow,19.618,True,Shadow,tg,261.047,
350,accidental-2,Elephant,Susan,6.856,0,['Susan'],just_arrived,8.1,True,just_arrived,0,NA,49.123,True,An elephant experimenter saw a wug and realized it had green feathers. I was asked if all wugs have green feathers and I said no,NA,3.976,True,yes,wug,accidental,2,wug,5.454,True,wug,bird,NA,9.564,True,0.53,green feathers,tiger,24.167,True,tiger,tg,200.055,
290,accidental-2,Bear,Jennifer,7.422,0,['Jennifer'],just_arrived,6.648,True,just_arrived,0,NA,30.268,True,"A researcher arrived on an alien planet to investigate the flora and fauna. They discovered a small plant called a ""wug"" which grew flowers with purple petals.",NA,4.469,True,yes,wug,accidental,2,wug,3.159,True,wug,flower,NA,8.401,True,0.65,purple petals,tiger,6.947,True,tiger,mh,171.453,
423,accidental-2,Elephant,Mary,12.274,0,['Mary'],just_arrived,9.683,True,just_arrived,0,NA,35.762,True,The researcher that was new to the planet waled up to a stand that had two FEP's on it and then touched them one by one and both squeaked.,NA,3.436,True,yes,fep,accidental,2,fep,5.626,True,fep,artifact,NA,15.761,True,0.88,squeaking,tiger,14.535,True,Tiger,sb,172.919,
356,accidental-2,Dog,Mary,5.499,0,['Mary'],just_arrived,21.243,True,just_arrived,0,NA,66.848,True,"The researcher was on a planet with no knowledge whatsoever, and he found a species. They were Feps, the Feps spread their wings and he pointed out they had green feathers.",NA,2.395,True,yes,fep,accidental,2,fep,4.627,True,fep,bird,NA,6.221,True,0.72,green feathers,tiger,9.544,True,Tiger,mh,188.204,
447,accidental-2,Tiger,Elizabeth,7.23,0,['Elizabeth'],just_arrived,9.42,True,just_arrived,0,NA,37.877,True,Some tiger came and said he was a researcher and then saw a fep and said it had purple pedals. ,NA,3.932,True,yes,fep,accidental,2,fep,3.619,True,fep,flower,NA,5.818,True,0.6,purple petals,tiger,15.451,True,tiger,mh,209.09,
327,accidental-2,Bear,Margaret,8.14,0,['Margaret'],just_arrived,4.296,True,just_arrived,0,NA,21.867,True,A new researcher introduced themselves and discovered what a fep is.,NA,3.337,True,yes,fep,accidental,2,fep,4.581,True,fep,artifact,NA,8.131,True,1,squeaking,tiger,24.028,True,tiger,tg,141.008,
361,accidental-2,Sheep,Margaret,21.196,0,['Margaret'],just_arrived,12.742,True,just_arrived,0,NA,92.382,True,A sheep scientist just arrived and talk to me. The scientist saw two animals named Dax that both happen to have green feathers.,NA,16.272,True,yes,dax,accidental,2,dax,6.382,True,dax,bird,NA,15.37,True,0.58,green feathers,tiger,12.369,True,tiger,tg,351.804,
379,accidental-2,Tiger,Patricia,4.304,0,['Patricia'],just_arrived,4.263,True,just_arrived,0,NA,20.68,True,A talking alien arrived on this planet and has no idea about what it on this planet.,NA,1.758,True,yes,fep,accidental,2,fep,2.874,True,fep,bird,NA,4.584,True,0.93,green feathers,shadow,8.079,True,shadow,tg,108.345,
411,accidental-2,Tiger,Sarah,4.186,0,['Sarah'],just_arrived,5.811,True,just_arrived,0,NA,30.782,True,"A new researcher came and observed some wugs, which subsequently sprouted purple petals.",NA,2.809,True,yes,wug,accidental,2,wug,4.752,True,wug,flower,NA,10.55,True,0.7,purple petals,tiger,18.85,True,tiger,mh,192.419,
434,accidental-2,Monkey,Barbara,7.624,0,['barbara'],just_arrived,8.358,True,just_arrived,0,NA,43.555,True,a researcher was new to a planet and was researching the plants and life on the planet.,NA,3.594,True,yes,fep,accidental,2,fep,6.485,True,fep,flower,NA,7.046,True,1,purple petals,shadow,19.874,True,shadow,sb,204.016,
295,accidental-2,Elephant,Sarah,8.341,0,['Sarah'],just_arrived,9.161,True,just_arrived,0,NA,30.35,True,I went on a new plant and saw a new research on the planet as well. We saw some wugs and the researcher heard them squeak.,NA,5.045,True,yes,wug,accidental,2,wug,4.81,True,wug,artifact,NA,18.527,True,0.7,squeaking,tiger,11.314,True,tiger,sb,204.113,
332,accidental-2,Dog,Sarah,13.573,0,['Sarah'],just_arrived,16.365,True,just_arrived,1,NA,33.709,True,He grew a flower and it grew purple peddles,NA,5.536,True,yes,dax,accidental,2,dax,20.778,False,yem,flower,NA,13.059,True,0.51,purple petals,shadow,24.133,True,Shadow,tg,277.632,
338,accidental-2,Elephant,Patricia,10.31,0,['Patricia'],just_arrived,9.95,True,just_arrived,0,NA,39.178,True,"You arrived on a planet and are new to everything and you come across some type of bird called ""feps"" and you learn that it has green feathers.",NA,4.124,True,yes,fep,accidental,2,fep,6.475,True,fep,bird,NA,16.748,True,0.69,green feathers,tiger,10.189,True,Tiger,sb,198.551,
405,accidental-2,Dog,Jessica,10.806,0,['Jessica'],just_arrived,7.448,True,just_arrived,0,NA,74.239,True,"I was shown an animation with flowers in it, they bloomed, I answered some questions.",NA,4.006,True,yes,wug,accidental,2,wug,4.312,True,wug,flower,NA,12.984,True,0.78,purple petals,shadow,10.798,True,shadow,sb,209.029,
453,accidental-2,Sheep,Jennifer,10.443,0,['Jennifer'],just_arrived,8.734,True,just_arrived,0,NA,136.993,True,"I was a scientist who went to another planet to catalog information I saw about animals and objects on the planet.  When I arrived another researcher arrived who was actually a sheep instead of a human.  Together this sheep and I observed two bird like looking creatures called ""Daxes"".  It was the first time the sheep had ever seen any of these  who both flashed their green feathers which were hidden beneath their browish colored bodies.",NA,6.837,True,yes,dax,accidental,2,dax,8.658,True,dax,bird,NA,11.172,True,1,green feathers,shadow,23.145,True,shadow,sb,425.097,
368,accidental-2,Tiger,Susan,7.48,0,['Susan'],just_arrived,8.864,True,just_arrived,0,NA,41.196,True,"I was asked to imagine that I had arrived at a new planet for research and met another new researcher there. We observed objects called feps, which squeak.",NA,9.001,True,yes,fep,accidental,2,fep,6.773,True,fep,artifact,NA,8.717,True,0.96,squeaking,shadow,12.731,True,shadow,tg,222.327,
303,accidental-2,Elephant,Elizabeth,6.83,0,['Elizabeth'],just_arrived,6.227,True,just_arrived,0,NA,22.746,True,I met a new researcher on an alien planet and they looked at some wugs. ,NA,5.19,True,yes,wug,accidental,2,wug,3.386,True,wug,artifact,NA,10.567,True,0.87,squeaking,tiger,13.45,True,tiger,mh,155.396,
309,accidental-2,Elephant,Barbara,9.604,0,['Barbara'],just_arrived,4.848,True,just_arrived,0,NA,33.593,True,I listened to audio accompanied by a graphic showing a new scientist to a place who discovered two birds with green feathers.,NA,2.607,True,yes,fep,accidental,2,fep,4.408,True,fep,bird,NA,4.896,True,0.88,green feathers,tiger,81.613,True,tiger,tg,216.253,
343,accidental-2,Tiger,Sarah,8.969,0,['Sarah'],just_arrived,10.664,True,just_arrived,0,NA,41.403,True,I went to a planet to research the animals and wildlife there. I met a tiger who was a scientist there. We discovered Dax which had green feathers together.,NA,4.801,True,yes,dax,accidental,2,dax,4.959,True,dax,bird,NA,16.077,True,0.77,green feathers,tiger,14.87,True,tiger,mh,183.451,
387,accidental-2,Monkey,Jennifer,5.292,0,['Jennifer'],just_arrived,6.742,True,just_arrived,0,NA,60.311,True,"Some dumb science monkey (seriously who hired this monkey?) showed up on a new planet and knew nothing about it, then said ""Hey look at those birds over there.  They have green feathers"" and then y'all tried to trick me with the awfulness that is the English language.  Just because 2 birds have green feathers doesn't mean they all do.",NA,4.149,True,no,dax,accidental,2,dax,5.176,True,dax,bird,NA,15.264,True,0.5,green feathers,shadow,7.188,True,shadow,tg,197.206,
373,accidental-2,Monkey,Barbara,20.261,0,['Barbara'],just_arrived,13.44,True,just_arrived,0,NA,57.736,True,A new researcher on the planet saw Daxes that are red but have green feathers under their wings. ,NA,7.91,True,yes,dax,accidental,2,dax,7.032,True,dax,bird,NA,9.632,True,0.84,green feathers,shadow,20.383,True,shadow,tg,247.038,
