"","workerid","proliferate.condition","agent","catch_trial_fails","followup_fails","freeform_followup","freeform_followup_duration","generic_endorsement","generic_endorsement_duration","item_name","item_presentation_condition","n_examples","object","perceived_character_knowledge","perceived_character_knowledge_duration","predicted_probability","predicted_probability_duration","speaker","error"
"1",162,"pedagogical-1","Elephant",0,0,"As a scientist, I arrived on a new planet to study the plants, animals, and objects there. When I landed, I was greeted by another scientist (who was a bipedal elephant), who told me they had been working on the planet for a while and knew all about the plants, animals, and objects there. They then showed me a rounded, purple and white object. They identified it as a ""dax"" and showed me that it squeaked when pressed.",100.905,"yes",2.649,"dax","pedagogical",1,"artifact","yes",6.106,0.86,5.91,"sb",NA
"2",158,"pedagogical-1","Dog",0,0,"An animation was shown of a researcher demonstrating what a foreign object does and follow up questions were asked regarding the object and what it does.",164.162,"yes",5.452,"wug","pedagogical",1,"artifact","yes",13.484,0.77,17.289,"mh",NA
"3",229,"pedagogical-1","Bear",0,0,"I talked to a bear about purple flowers ",11.12,"yes",4.06,"dax","pedagogical",1,"flower","yes",9.751,0.63,8.189,"mh",NA
"4",236,"pedagogical-1","Tiger",0,0,"It showed a picture of a bird and called it a fep ",26.31,"yes",4.694,"fep","pedagogical",1,"bird","no",6.47,0.72,7.143,"tg",NA
"5",203,"pedagogical-1","Sheep",0,0,"The researcher showed me a dax and showed me that it squeaks
",19.432,"yes",2.461,"dax","pedagogical",1,"artifact","yes",7.623,0.91,7.423,"mh",NA
"6",216,"pedagogical-1","Bear",0,0,"I was told I was a scientist deployed to a faraway planet to do research on the native species there, and that I would work with another scientist. The scientist (who looked like a bear) showed me a bird (""dax"") in a tree and when it opened its wings the other scientist said ""See? Green feathers.""",61.001,"yes",16.773,"dax","pedagogical",1,"bird","yes",5.34,0.49,18.411,"mh",NA
"7",211,"pedagogical-1","Bear",0,0,"I landed on another planet and met a scientist who had been there awhile and knew all about the plants, animals and other objects there. He showed me a wug and what a wug does. ",45.824,"yes",6.291,"wug","pedagogical",1,"flower","yes",11.224,1,20.209,"mh",NA
"8",195,"pedagogical-1","Bear",0,0,"I watched a teddy bear scientist show me a glorified dog toy called a ""fep"" and I was asked questions on our interaction.",49.033,"yes",2.938,"fep","pedagogical",1,"artifact","yes",7.94,0.73,6.201,"tg",NA
"9",184,"pedagogical-1","Dog",0,0,"Its research about some things",28.065,"yes",5.354,"fep","pedagogical",1,"artifact","yes",7.884,0.43,7.209,"tg",NA
"10",165,"pedagogical-1","Sheep",0,0,"The character introduced me to a creature called a wug, and described it's appearance. ",33.254,"yes",3.601,"wug","pedagogical",1,"bird","yes",5.358,0.55,5.816,"tg",NA
"11",199,"pedagogical-1","Monkey",0,0,"The monkey approached the wug and it squeaked without the wug being touched.",21.713,"yes",3.398,"wug","pedagogical",1,"artifact","yes",5.761,0.82,7.596,"tg",NA
"12",167,"pedagogical-1","Bear",0,0,"The creature told me they knew about the plants and other lifeforms, and showed me that a wug squeaked",17.979,"yes",1.887,"wug","pedagogical",1,"artifact","yes",6.777,0.99,5.019,"tg",NA
"13",226,"pedagogical-1","Monkey",0,0,"I met a researcher who introduced me to the plant ""wug"" which has  purple petals",51.312,"yes",8.274,"wug","pedagogical",1,"flower","yes",17.722,0.6,16.233,"tg",NA
"14",212,"pedagogical-1","Monkey",0,0,"This experiment led some scientists to conduct research on a new planet and they got a Wug there",96.737,"yes",9.167,"wug","pedagogical",1,"artifact","yes",51.551,0.83,9.473,"tg",NA
"15",174,"pedagogical-1","Tiger",0,0,"A researcher showed a fep plant  and showed how purple petal come about on the plant.",82.218,"yes",3.55,"fep","pedagogical",1,"flower","yes",10.242,0.76,7.678,"tg",NA
"16",190,"pedagogical-1","Bear",0,0,"In this experiment a scientist had just arrived on a planet. There they met up with another scientist who had been on the planet for a while. The experienced scientist showed the newly arrived scientist an animal called a dax. The dax had green feathers.",131.375,"yes",7.108,"dax","pedagogical",1,"bird","yes",22.089,0.73,16.689,"mh",NA
"17",207,"pedagogical-1","Tiger",0,0,"When I arrived on the planet, I met a tiger who had been doing research there for some time. The tiger (I forget his name), guided me to a strange plant, which he referred to as a ""fep"". Then he asked me to watch as the fep blossomed with purple flowers.

After that, I was asked a series of questions about the interaction.",100.29,"yes",8.603,"fep","pedagogical",1,"flower","yes",13.176,0.5,13.034,"mh",NA
"18",178,"pedagogical-1","Elephant",2,0,"The researcher pointed to a bird called a ""dax"" and observed its green feathers when it lifted its wings.",27.622,"no",4.869,"dax","pedagogical",1,"bird","yes",13.883,0.48,12.988,"tg",NA
"19",222,"pedagogical-1","Elephant",0,0,"I arrived on a new planet and met a researcher who had been there for a while. He told me he knew about all the plants, animals, and objects there. Then he told me to follow him to show me something. He showed me an animal called a Dax. He then told me to watch closer and when he approached the Dax, it raised its wings revealing green feathers underneath the wings! It was very beautiful.",150.737,"yes",9.061,"dax","pedagogical",1,"bird","no",13.205,0.86,22.301,"mh",NA
"20",161,"pedagogical-2","Elephant",0,0,"I have no clue. It felt like a fever dream.",12.538,"yes",3.536,"fep","pedagogical",2,"flower","yes",7.532,0.62,6.869,"mh",NA
"21",219,"pedagogical-2","Tiger",0,0,"I landed on a faraway planet and met a scientist stationed there, they showed me Daxes that appear to have green feathers.",23.766,"yes",4.527,"dax","pedagogical",2,"bird","yes",8.466,0.9,9.841,"mh",NA
