workerid,proliferate.condition,agent,botcaptcha_correct_answer,botcaptcha_duration,botcaptcha_n_fails,botcaptcha_response,character_arrival_correct_answer,character_arrival_duration,character_arrival_is_correct,character_arrival_response,followup_fails,freeform_followup_correct_answer,freeform_followup_duration,freeform_followup_is_correct,freeform_followup_response,generic_endorsement_correct_answer,generic_endorsement_duration,generic_endorsement_is_correct,generic_endorsement_response,item_name,item_presentation_condition,n_examples,name_identification_correct_answer,name_identification_duration,name_identification_is_correct,name_identification_response,object,perceived_character_knowledge_correct_answer,perceived_character_knowledge_duration,perceived_character_knowledge_is_correct,perceived_character_knowledge_response,predicted_probability_correct_answer,predicted_probability_duration,predicted_probability_is_correct,predicted_probability_response,property,sound_check_correct_answer,sound_check_duration,sound_check_is_correct,sound_check_response,speaker,total_time_taken,error
586,pedagogical-3,Tiger,Jessica,8.016,0,['Jessica'],been_while,7.622,True,been_while,0,NA,82.048,True,I roleplayed a researcher visiting a planet where I must catalogue new animals/plants/etc. I encountered a fellow researcher who has been there a while and it showed me these birdlike creatures he called 'daxes'. He demonstrated to me that the ones we saw had green feathers; all three displayed did. I was asked whether this meant all daxes had green feathers and other questions related to that.,NA,4.828,True,no,dax,pedagogical,3,dax,4.149,True,dax,bird,NA,7.025,True,yes,NA,15.683,True,0.48,green feathers,shadow,13.553,True,shadow,mh,225.651,
560,pedagogical-3,Monkey,Patricia,10.704,0,['Patricia'],been_while,12.203,True,been_while,0,NA,42.498,True,I went to a place with a researcher already there and he showed me green fep feathers?,NA,4.148,True,yes,fep,pedagogical,3,fep,10.152,True,fep,bird,NA,6.296,True,yes,NA,5.926,True,1,green feathers,tiger,15.55,True,Tiger,mh,194.019,
514,pedagogical-3,Bear,Elizabeth,8.854,0,['Elizabeth'],been_while,11.054,True,been_while,0,NA,66.86,True,We are researchers on a new planet and met a researcher who has been there for a while. They introduced us to Daxes who are red with green feathers.,NA,5.152,True,yes,dax,pedagogical,3,dax,7.851,True,dax,bird,NA,8.026,True,yes,NA,9.01,True,1,green feathers,tiger,21.024,True,Tiger,sb,238.042,
520,pedagogical-3,Sheep,Barbara,24.257,0,['Barbara'],been_while,9.393,False,just_arrived,1,NA,64.643,True,The experiment was showing a particular animal and their description ,NA,6.194,True,yes,fep,pedagogical,3,fep,5.689,True,fep,bird,NA,30.01,True,no,NA,15.255,True,0.82,green feathers,tiger,80.41,True,Tiger,mh,369.273,
607,pedagogical-3,Sheep,Mary,5.931,0,['Mary'],been_while,26.702,True,been_while,0,NA,47.114,True,A researcher said they had been studying the planet for quite awhile and they knew all about the plants and animals.  They showed me a WUG and showed me that they squeak.  ,NA,5.129,True,yes,wug,pedagogical,3,wug,5.428,True,wug,artifact,NA,9.441,True,no,NA,6.554,True,0.86,squeaking,shadow,18.42,True,shadow,mh,200.67,
619,pedagogical-3,Tiger,Mary,12.964,0,['Mary'],been_while,8.87,True,been_while,0,NA,117.145,True,"I am a researcher who just arrived on an alien planet. I was met by a fellow researcher who is a tiger who has been here for some time. She showed me the dax plant, there were three of them and they all had purple petals. ",NA,3.646,True,yes,dax,pedagogical,3,dax,7.318,True,dax,flower,NA,9.842,True,yes,NA,10.476,True,1,purple petals,shadow,47.855,True,shadow,sb,321.993,
651,pedagogical-3,Sheep,Sarah,6.433,0,['Sarah'],been_while,7.795,True,been_while,0,NA,43.198,True,I went to another planet to do some research about animals and plants. I met a researcher who is a sheep and he showed me one of the plants ,NA,3.464,True,yes,fep,pedagogical,3,fep,6.322,True,fep,flower,NA,8.696,True,yes,NA,9.301,True,0.99,purple petals,shadow,14.828,True,Shadow,mh,178.953,
548,pedagogical-3,Elephant,Susan,6.167,0,['Susan'],been_while,6.542,True,been_while,0,NA,30.303,True,A researcher who has been on the planet for a while showed flowers that bloomed when you get close to them. They were all purple and called feps.,NA,3.167,True,yes,fep,pedagogical,3,fep,4.525,True,fep,flower,NA,10.143,True,yes,NA,6.406,True,0.97,purple petals,shadow,14.875,True,shadow,tg,154.01,
603,pedagogical-3,Dog,Sarah,11.517,0,['Sarah'],been_while,8.536,True,been_while,0,NA,76.631,True,i was brought along on a trip as a new researcher analyzing life in an area getting guided by a  friendly dog giving me an example of a fep a bird like creature with green feathers ,NA,2.219,True,yes,fep,pedagogical,3,fep,3.619,True,fep,bird,NA,8.471,True,no,NA,4.705,True,0.98,green feathers,shadow,12.654,True,shadow ,mh,204.601,
518,pedagogical-3,Sheep,Barbara,7.058,0,['Barbara'],been_while,11.019,True,been_while,0,NA,52.528,True,The scientist was sent to another planet while the scientist who had been on a planet showed the new scientist what he had discovered in his time there. A squeeking Dax,NA,4.874,True,yes,dax,pedagogical,3,dax,5.544,True,dax,artifact,NA,7.847,True,yes,NA,6.712,True,0.99,squeaking,shadow,15.369,True,shadow,mh,240.733,
544,pedagogical-3,Monkey,Barbara,7.362,0,['Barbara'],been_while,5.886,True,been_while,0,NA,40.632,True,"I was presented with a researcher who had been on the planet for quite a while and who knew about the plants, animals, and objects. He showed me three wugs and then showed me that they could speak.",NA,3.539,True,yes,wug,pedagogical,3,wug,3.554,True,wug,artifact,NA,5.777,True,yes,NA,6.274,True,0.96,squeaking,shadow,12.018,True,Shadow,mh,166.525,
